Linker script written to: demos/sorted_list_lpc4078.ld
CSV file written to: demos/functions-lpc4078.csv

Function Size Summary:
------------------------------------------------------------------------------------------
Index       Size     New Addr Function Name                                     
  421        0 B       0x6bcc __do_global_dtors_aux                             
  422        0 B       0x6bcc __do_global_dtors_aux_fini_array_entry            
  423        0 B       0x6bcc __frame_dummy_init_array_entry                    
  424        0 B       0x6bcc __gnu_Unwind_Restore_VFP                          
  425        0 B       0x6bcc __gnu_Unwind_Restore_VFP_D                        
  426        0 B       0x6bcc __gnu_Unwind_Restore_VFP_D_16_to_31               
  427        0 B       0x6bcc __gnu_Unwind_Restore_WMMXC                        
  428        0 B       0x6bcc __gnu_Unwind_Restore_WMMXD                        
  429        0 B       0x6bcc __gnu_Unwind_Save_VFP                             
  430        0 B       0x6bcc __gnu_Unwind_Save_VFP_D                           
  431        0 B       0x6bcc __gnu_Unwind_Save_VFP_D_16_to_31                  
  432        0 B       0x6bcc __gnu_Unwind_Save_WMMXC                           
  433        0 B       0x6bcc __gnu_Unwind_Save_WMMXD                           
  434        0 B       0x6bcc __init_array_end                                  
  435        0 B       0x6bcc __init_array_start                                
  436        0 B       0x6bcc __preinit_array_end                               
  437        0 B       0x6bcc __preinit_array_start                             
  438        0 B       0x6bcc __text_end                                        
  439        0 B       0x6bcc deregister_tm_clones                              
  440        0 B       0x6bcc frame_dummy                                       
  441        0 B       0x6bcc register_tm_clones                                
------------------------------------------------------------------------------------------
Total Functions: 442
Total Size:    26.6 KB
