Linker script written to: demos/sorted_list_lpc4078.ld
CSV file written to: demos/functions-lpc4078.csv

Function Size Summary:
------------------------------------------------------------------------------------------
Index       Size     New Addr Function Name                                     
   96       60 B       0x3a54 _Z14funct_group4_6v                               
   97       60 B       0x3a90 _Z14funct_group4_7v                               
   98       60 B       0x3acc _Z14funct_group4_8v                               
   99       60 B       0x3b08 _Z14funct_group4_9v                               
  100       60 B       0x3b44 _Z14funct_group5_0v                               
  101       60 B       0x3b80 _Z14funct_group5_1v                               
  102       60 B       0x3bbc _Z14funct_group5_2v                               
  103       60 B       0x3bf8 _Z14funct_group5_3v                               
  104       60 B       0x3c34 _Z14funct_group5_4v                               
  105       60 B       0x3c70 _Z14funct_group6_0v                               
  106       60 B       0x3cac _Z14funct_group6_1v                               
  107       60 B       0x3ce8 _Z14funct_group6_2v                               
  108       60 B       0x3d24 _Z14funct_group6_3v                               
  109       60 B       0x3d60 _Z14funct_group6_4v                               
  110       60 B       0x3d9c _Z14funct_group6_5v                               
  111       60 B       0x3dd8 _Z14funct_group6_6v                               
  112       60 B       0x3e14 _Z14funct_group6_7v                               
  113       60 B       0x3e50 _Z14funct_group6_8v                               
  114       60 B       0x3e8c _Z15funct_group1_10v                              
  115       60 B       0x3ec8 _Z15funct_group2_10v                              
  116       60 B       0x3f04 _Z15funct_group2_11v                              
  117       60 B       0x3f40 _Z15funct_group2_12v                              
  118       60 B       0x3f7c _Z15funct_group2_13v                              
  119       60 B       0x3fb8 _Z15funct_group2_14v                              
  120       60 B       0x3ff4 _Z15funct_group2_15v                              
  121       60 B       0x4030 _Z15funct_group2_16v                              
  122       60 B       0x406c _Z15funct_group2_17v                              
  123       60 B       0x40a8 _Z15funct_group2_18v                              
  124       60 B       0x40e4 _Z15funct_group2_19v                              
  125       60 B       0x4120 _Z15funct_group2_20v                              
  126       60 B       0x415c _Z15funct_group2_21v                              
  127       60 B       0x4198 _Z15funct_group2_22v                              
  128       60 B       0x41d4 _Z15funct_group3_10v                              
  129       60 B       0x4210 _Z15funct_group3_11v                              
  130       60 B       0x424c _Z15funct_group3_12v                              
  131       60 B       0x4288 _Z15funct_group3_13v                              
  132       60 B       0x42c4 _Z15funct_group3_14v                              
  133       60 B       0x4300 _Z15funct_group3_15v                              
  134       60 B       0x433c _Z15funct_group3_16v                              
  135       60 B       0x4378 _Z15funct_group3_17v                              
  136       60 B       0x43b4 _Z15funct_group3_18v                              
  137       60 B       0x43f0 _Z15funct_group3_19v                              
  138       60 B       0x442c _Z15funct_group3_20v                              
  139       60 B       0x4468 _Z15funct_group3_21v                              
  140       60 B       0x44a4 _Z15funct_group3_22v                              
  141       60 B       0x44e0 _Z15funct_group3_23v                              
  142       60 B       0x451c _Z15funct_group3_24v                              
  143       60 B       0x4558 _Z15funct_group3_25v                              
  144       60 B       0x4594 _Z15funct_group3_26v                              
  145       60 B       0x45d0 _Z15funct_group3_27v                              
  146       60 B       0x460c _Z15funct_group3_28v                              
  147       60 B       0x4648 _Z15funct_group3_29v                              
  148       60 B       0x4684 _Z15funct_group3_30v                              
  149       60 B       0x46c0 _Z15funct_group3_31v                              
  150       60 B       0x46fc _Z15funct_group3_32v                              
  151       60 B       0x4738 _Z15funct_group3_33v                              
  152       60 B       0x4774 _Z15funct_group3_34v                              
  153       60 B       0x47b0 _Z15funct_group3_35v                              
  154       60 B       0x47ec _Z15funct_group3_36v                              
  155       60 B       0x4828 _Z15funct_group3_37v                              
  156       60 B       0x4864 _Z15funct_group3_38v                              
  157       60 B       0x48a0 _Z15funct_group3_39v                              
  158       60 B       0x48dc _Z15funct_group3_40v                              
  159       60 B       0x4918 _Z15funct_group3_41v                              
  160       60 B       0x4954 _Z15funct_group3_42v                              
  161       60 B       0x4990 _Z15funct_group3_43v                              
  162       60 B       0x49cc _Z15funct_group3_44v                              
  163       60 B       0x4a08 _Z15funct_group3_45v                              
  164       60 B       0x4a44 _Z15funct_group3_46v                              
